_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,can_you_understand_the_text_through_these_key_words_and_emoticon,can_you_understand_the_text_through_these_key_words_and_emoticon:confidence,does_the_data_is_clean,does_the_data_is_clean:variance,only_one_emotion_expressed_in_these_key_word_right,only_one_emotion_expressed_in_these_key_word_right:confidence,please_choose_an_emotion_expressed_by_the_following_key_words,please_choose_an_emotion_expressed_by_the_following_key_words:confidence,angry,read_the_key_word_and_emoticon_to_identify_the_emotion_of_the_user_:confidence,can_you_understand_the_text_through_these_key_words_and_emoticon_gold,does_the_data_is_clean_gold,key_word_1,key_word_10,key_word_11,key_word_12,key_word_13,key_word_14,key_word_15,key_word_16,key_word_17,key_word_18,key_word_2,key_word_3,key_word_4,key_word_5,key_word_6,key_word_7,key_word_8,key_word_9,numbei,only_one_emotion_expressed_in_these_key_word_right_gold,read_the_key_word_and_emoticon_to_identify_the_emotion_of_the_user__gold
2691254133,FALSE,finalized,3,3/18/2020 02:46:48,,,yes,0.5235,1.67,1.7,yes,1,2,1,angry,1,,,sucker,like,hell,doe,n't,get,up.\u2026,,,,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,0,,
2691254134,FALSE,finalized,3,3/18/2020 03:50:45,,,yes,1,1,0.816,yes,1,1,1,angry,0.5267,,,stop,,,,,,,,,,lying,world.\,\n\,china,lie,,,,1,,
2691254135,FALSE,finalized,3,3/18/2020 03:21:01,,,yes,0.6904,2.67,1.247,yes,0.6904,,,angry,0.3492,,,spoke,last,week,send\u2026,,,,,,,tunisian,prime,minister,today,express,outrage,terrorist,attack,2,,
2691254136,FALSE,finalized,3,3/18/2020 02:27:26,,,yes,1,1.67,1.247,yes,1,1,1,angry,1,,,call,\n\n-,free,testing\u2026,,,,,,,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,3,,
2691254137,FALSE,finalized,3,3/18/2020 02:53:47,,,no,0.5341,1.67,1.247,no,1,2,1,angry,0.5341,,,dumb,,,,,,,,,,realized,today,friday,13th\ud83e\udd26\ud83c\udffe\u200d\u2640\ufe0f,i\u2019m,damn,tired,goodnight\ud83d\ude2d\ud83d\udc80,4,,
2691254138,FALSE,finalized,3,3/18/2020 04:17:37,,,yes,1,2,0.816,yes,1,,,angry,0.7004,,,shit,,,,,,,,,,got,tat,today,,,,,,5,,
2691254139,FALSE,finalized,3,3/18/2020 02:27:26,,,yes,1,1,1.414,yes,1,4,1,angry,1,,,call,\n\n-,free,testing\u2026,,,,,,,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,6,,
2691254140,FALSE,finalized,3,3/18/2020 03:17:08,,,yes,1,1,0.816,yes,1,2,1,angry,1,,,cry,\n\n,kahaanhumka\u2026,,,,,,,,\nbecause,real,battle,begin,today,\n\nwho,fight,season,7,,
2691254141,FALSE,finalized,3,3/18/2020 03:50:45,,,yes,1,3,1.414,yes,1,,,angry,0.6436,,,call,\n\n-,free,testing\u2026,,,,,,,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,8,,
2691254142,FALSE,finalized,3,3/18/2020 02:46:48,,,yes,1,1.33,1.247,yes,1,1,1,angry,0.5235,,,dude,,,,,,,,,,look,like,scabbers,harry,potter,,,,9,,
