,created_at,text,user_id
0,Sat Mar 14 04:43:19 +0000 2020,RT @beastoftraal: What an inspiration! The Times of India should have included this today in all their editions,140419107
1,Sat Mar 14 04:43:19 +0000 2020,"RT @DebKilroy: We were on the same plane as Peter Dutton so we had to be tested for #COVID19Aus today when we arrived back in the country &amp;\u2026""",3024521000
2,Sat Mar 14 04:43:19 +0000 2020,RT @AmyTanMD: \ud83d\udcaf. Exhausted. Really tough clinic today: had to call EMS &amp; the police(!!) to help with 2 different pts,1417651057
3,Sat Mar 14 04:43:19 +0000 2020,Did you guys know that the pneumonic plague actually has very similar symptoms to the coronavirus,595043538
4,Sat Mar 14 04:43:16 +0000 2020,RT @Jeff__Benjamin: Thank you,901802842964537344
5,Sat Mar 14 04:43:19 +0000 2020,RT @ezralevant: Trudeau refuses to cancel direct flights from China. Today planes landed from Shanghai,111676179
6,Sat Mar 14 04:43:19 +0000 2020,"@rycentennial @OhWeeBeasties @aravosis Exactly. I commented earlier today that he won't give up handshakes because\u2026 https:\/\/t.co\/1kQTgODcKa""",755594148
7,Sat Mar 14 04:43:19 +0000 2020,"RT @lookner: According to Worldometer the U.S. has added 769 cases today https:\/\/t.co\/juaiQsA8xO""",53939166
8,Sat Mar 14 04:43:19 +0000 2020,"RT @TomFitton: So will we now have to restrict travel from Canada? https:\/\/t.co\/TtLsbN9zzn""",1179841812787281929
9,Sat Mar 14 04:43:19 +0000 2020,"RT @phatbootiezonly: LMFAAAAAAAAOOOOOOOOOOOO""",373104378
10,Sat Mar 14 04:43:19 +0000 2020,RT @CSYFanUnion_: \ud83d\udce2 VLIVE Heart Support \ud83d\udc95\n\n&lt; ALL DAY &gt;\n\nToday too let's tap tap the heart in this vlive,606070925
11,Sat Mar 14 04:43:19 +0000 2020,RT @dbongino: Rarely,759200357348216832
12,Sat Mar 14 04:43:19 +0000 2020,"@Jackie18308277 @jennybeansbooks @Inevitable_ET He also quit the board at Hathaway today. I think both were in minutes of @POTUS speech.""",1076903752974635009
13,Sat Mar 14 04:43:19 +0000 2020,"RT @Yamiche: Video of my question to @realDonaldTrump today on his administration's disbanding of the White House team responsible for coor\u2026""",526014122
14,Sat Mar 14 04:43:19 +0000 2020,"RT @SonyMusicSouth: When @imKBRshanthnu &amp; @KikiVijay dance to the #VaathiStepu it is totally unmissable!  \ud83d\ude0e\ud83d\udc83\n\nCheck it out now! \ud83d\udca5\n\n#VaathiC\u2026""",1173149951989149696
15,Sat Mar 14 04:43:19 +0000 2020,"RT @Freedoc_be: And his death represents the worries of all colleagues who are still not equipped with adequate personal protective equipme\u2026""",15069709
16,Sat Mar 14 04:43:19 +0000 2020,"RT @ChristinaNDP: .@jkenney &amp; @JasonCoppingAB can you please immediately clarify for #Alberta how the 14 day paid job-protected COVID-19 re\u2026""",357180980
17,Sat Mar 14 04:43:19 +0000 2020,"RT @buzzindelhi: Swift action from Telecom ministry under leadership of @rsprasad to enable #WorkFromHome for IT and IteS firms. India can\u2026""",1172546228
18,Sat Mar 14 04:43:19 +0000 2020,"T today I I will do violent and anima e""",1087957889405333510
19,Sat Mar 14 04:43:12 +0000 2020,#OreybujjigaPreRelease event today         at Exhibition Ground,948919092811091968
20,Sat Mar 14 04:43:19 +0000 2020,Thank you to everyone who reached out today!  Extremely blessed to Coach in the community we Coach in,914276716771672064
21,Sat Mar 14 04:43:19 +0000 2020,"@KearnyKenny @molratty I haven\u2019t heard anything either about whether they saw a lot of patients come thru. It just started today.""",3308238607
22,Sat Mar 14 04:43:19 +0000 2020,RT @jennienectx: . \u02d9 \ud835\udd8e \ud835\udd9c\ud835\udd8e\ud835\udd91\ud835\udd91 \ud835\udd89\ud835\udd86\ud835\udd99\ud835\udd8a \ud835\udd9c\ud835\udd8e\ud835\udd99\ud835\udd8d \ud835\udd9e\ud835\udd94\ud835\udd9a  \u26ea\ufe0f \u02d9 .\n\n      hi boys ,1076877169895256064
23,Sat Mar 14 04:43:19 +0000 2020,RT @JohnTitor33621: This is Duncan Lemp,1153812795625918474
